Ticker,Total_Open_Interest
SPX,18920694
NVDA,17456868
SPY,15345557
VIX,11999102
HYG,9977709
SLV,9879637
IWM,9457385
QQQ,8475886
TSLA,7031111
INTC,6399492
TLT,6394999
IBIT,6370661
NFLX,6039622
AAPL,5239486
GLD,5000303
EEM,4840244
XLE,4663508
XLF,4618477
EWZ,4557856
AMZN,4376846
NIO,4178187
SOFI,4177557
FXI,4103037
KWEB,3987336
ASST,3631600
PLTR,3503796
AMD,3368260
GOOGL,3307973
PFE,3198737
RIVN,2793333
MSTR,2728024
BABA,2720435
BAC,2590133
META,2567457
SMCI,2509875
AAL,2459396
MARA,2392352
IREN,2318091
MSFT,2293038
WULF,2288078
OPEN,2276727
GDX,2276217
GRAB,2262129
WBD,2203662
GME,2192536
LCID,2182923
F,2132928
ORCL,2112764
AVGO,2090738
VALE,2061919
JD,2054510
CORZ,2017847
PYPL,1968388
HOOD,1912568
CRWV,1878374
MU,1860295
SNAP,1859347
GOOG,1841296
XLU,1829387
EOSE,1780375
NKE,1708525
NU,1696520
ETHA,1687262
KRE,1674809
TSM,1664027
C,1607625
NVO,1554726
BMNR,1518753
LQD,1511413
UNH,1481751
EFA,1467212
TQQQ,1460715
RIOT,1433253
UBER,1432674
PLUG,1409565
FCX,1409315
BYND,1401764
CMCSA,1355701
B,1344534
CIFR,1336849
PBR,1329535
CMG,1298505
TLRY,1248185
CCL,1223958
COIN,1212990
VZ,1202112
RIG,1201537
PDD,1201010
CLSK,1179460
MRVL,1177338
SOXL,1152589
AMC,1147303
WFC,1134549
BA,1133558
BBAI,1132662
BULL,1128273
RKT,1122646
T,1116557
TSLL,1099381
XBI,1090069
BITF,1078919
MRNA,1066955
KVUE,1059525
OXY,1039726
IEF,1037500
WMT,1037313
XOM,1034191
SMH,1023083
CSCO,1004979
ET,1003757
ONDS,981495
LYFT,968934
ASTS,962803
HIMS,957061
AG,939239
ACHR,925631
SLB,913704
ASHR,908361
TTD,906917
ARM,903572
PATH,901290
XLB,899791
HTZ,899594
RKLB,888983
APLD,857588
RGTI,857449
MSOS,827961
NEM,817764
DKNG,805623
U,799894
XLK,799298
MPW,796205
SOUN,776124
QS,774375
POET,770518
PSKY,767338
BTG,764586
NOK,763853
NBIS,757517
QBTS,742473
LAES,739639
BE,738874
FUBO,735940
CLF,733837
SBET,733507
BMY,725776
TGT,724513
OSCR,720127
SLS,717901
LRCX,715918
BTBT,710475
SOXS,706126
SBUX,703875
UUUU,701532
MRK,697814
DAL,693908
RUN,687015
KO,685223
SMR,677061
DIS,676557
PTON,671973
XPEV,668591
CRCL,667877
DOW,659914
AGNC,654585
JPM,653502
OKLO,646952
VG,646698
DJT,641077
XSP,639345
DELL,633630
CVX,626506
SILJ,626264
FSLR,625759
QCOM,622623
PCG,608134
CGC,605174
TEVA,599870
HAL,599286
SOC,595174
JBLU,591511
HPE,590228
MP,589493
RUT,583511
RBLX,582422
CRM,581720
NOW,575650
HL,571143
XLP,570573
BP,567336
LUMN,566713
UPS,564846
XLV,564460
VRT,561723
IONQ,551976
ARKK,550896
BIDU,549876
GM,545028
BRK.B,536918
NEE,535938
JOBY,535519
PANW,534823
TIGR,534823
XYZ,532506
SQQQ,531199
XLI,524635
CVNA,523916
VFC,523528
SNOW,519960
DIA,518180
TMC,518058
CVS,516837
IQ,515573
OWL,514285
CNC,513036
SHOP,504156
LULU,503503
DNN,501118
PCT,500729
SIRI,479531
ONON,477063
CPNG,473652
NCLH,472060
WDC,471146
AI,468583
CLOV,467067
BITO,466656
PEP,463941
ENPH,462958
ADBE,457590
PINS,453550
XLY,451489
MS,446276
CDE,445086
UNG,441761
SCHW,441718
RXRX,438531
KHC,438142
CELH,431586
JNJ,428943
RDDT,427005
ENVX,423797
UAL,423304
LI,422945
LAC,422298
BTDR,416777
QUBT,416112
ZIM,413806
ANET,407389
FHN,402926
URA,400069
STLA,399096
AMAT,398403
MSTU,398032
NVTS,395815
USO,394700
AFRM,394691
VST,393550
CCJ,390355
EQT,386771
HUT,386057
CRWD,385726
DVN,385679
RSP,384591
CZR,378591
BB,377778
ARKG,375656
PAAS,373156
LLY,372755
COP,369070
S,367615
AA,363684
APO,363032
AUR,362385
V,359583
IBM,358999
NAK,355980
TEM,354363
GLXY,353881
LUV,351412
GS,351361
XOP,349263
USAR,348193
SATS,345977
MBLY,344984
PG,344203
BEKE,341760
CHPT,341252
TOST,335084
APP,330626
HIVE,328513
CSX,328461
UAMY,327359
UVIX,325743
NFE,325154
AES,325145
DDOG,324849
UPST,321690
KMI,320600
MO,318157
TMF,317878
UEC,317426
BX,314477
TDOC,314401
SPCE,313944
ABNB,313549
ALB,310148
TXN,304741
BTU,301314
RR,300808
EH,300322
NVAX,300071
RZLV,298286
COST,294670
WYNN,294074
BILI,292547
SG,292500
LVS,292118
ABBV,291380
ZM,286003
AR,279007
APA,274772
ZETA,273602
GTLB,272981
NN,268416
ASPI,267415
UVXY,266570
STUB,265566
HPQ,265360
M,263161
LUNR,261553
VXX,259338
ALAB,259044
SEDG,258125
CAVA,257463
HD,256765
RDW,254762
USB,254047
RCAT,253174
TNA,252701
VKTX,251941
ABR,251757
GLW,251209
MCHP,250121
KMB,249364
IOVA,248291
AXP,247815
BSX,241798
DBRG,240427
ROKU,239256
ETSY,237924
ALT,232217
UWMC,231493
WEN,231184
PL,231140
XRT,231118
KGC,230218
FFAI,227756
BITX,225387
CSIQ,225065
TE,224760
HLF,224643
ON,224508
MSTX,222706
AIG,222671
CAR,222593
W,222223
EPD,221712
SHEL,221335
KSS,220899
CHWY,220644
GDXJ,219221
FIG,218695
PAA,218083
XHB,217328
FTNT,216767
RTX,216225
CAT,215812
XP,215343
GAP,214556
QXO,213518
CNQ,210664
IAU,210605
GE,209328
MVIS,209288
IBKR,202930
GPRO,201651
SE,200327
ABT,199957
SERV,198892
EL,197547
SPXS,196580
SNDK,196317
AEO,195481
DASH,194920
MCD,193898
STX,192669
MDT,191874
GEV,190970
COMM,189465
KKR,189206
VOD,188924
CEG,188039
DXCM,186452
CWAN,185682
DLTR,185581
RUM,182731
LQDA,181046
SCHD,176787
OKTA,176397
GILD,174079
JETS,173828
AMDL,173572
CAG,173113
HON,172855
CRDO,172403
NVDL,171602
SRPT,171501
NET,171394
PM,170117
BUD,169609
BOIL,169593
CHTR,169344
AAOI,168877
COF,166764
ASML,166458
KR,164430
TECK,163918
MGM,161979
JMIA,160140
MDB,159120
SU,158956
NNE,158922
EOG,158869
STZ,158765
DG,158417
RILY,157628
NLY,156281
AEM,155760
CRML,155619
VLO,154574
UPXI,154297
IOT,153909
TZA,152390
TJX,151469
AMGN,150672
FUTU,150669
