rank,flow_type,ticker,market_cap,stock_price,category,is_etf,aum,bullish_flow,bearish_flow,total_volume,net_flow,volatility,relative_flow,flow_score
1,Bullish,EEM,,,etf,True,,188447457.59117573,64820101.346533746,747190,123627356.24464199,0.14354574870180556,0.0,123627356.24464199
2,Bullish,QQQ,,,etf,True,,135795747.65221703,62513064.773165666,1522431,73282682.87905136,0.12405598565905564,0.0,73282682.87905136
3,Bullish,SPY,,,etf,True,,142484923.60661945,72639936.34505016,3046531,69844987.26156929,0.08124139055746658,0.0,69844987.26156929
4,Bullish,GDX,,,etf,True,,81755654.4843663,38153476.77031367,259705,43602177.714052625,0.33483092944342174,0.0,43602177.714052625
5,Bullish,GLD,,,etf,True,,72665347.095061,33137852.90219821,645854,39527494.192862794,0.19444990464869139,0.0,39527494.192862794
6,Bullish,SLV,,,etf,True,,52184193.53664864,18873032.79287031,840468,33311160.74377833,0.6037849108313799,0.0,33311160.74377833
7,Bullish,KRE,,,etf,True,,15958806.758163774,9840478.436626745,120193,6118328.321537029,0.1699603939444219,0.0,6118328.321537029
8,Bullish,EWZ,,,etf,True,,16419691.245295,10953659.78753721,264195,5466031.45775779,0.31470643541960547,0.0,5466031.45775779
9,Bullish,TQQQ,,,etf,True,,8968150.067385713,3566493.9678909658,183402,5401656.099494747,0.3744092107367195,0.0,5401656.099494747
10,Bullish,XLE,,,etf,True,,8473573.111150812,4226909.417983322,182272,4246663.69316749,0.23423916667346653,0.0,4246663.69316749
1,Bearish,FXI,,,etf,True,,4974966.618435443,5883068.51633186,346802,-908101.8978964165,0.18772524952274963,0.0,-908101.8978964165
2,Bearish,UNG,,,etf,True,,533163.9011474901,1121168.5728797542,129191,-588004.6717322641,0.7046450465125078,0.0,-588004.6717322641
3,Bearish,HYG,,,etf,True,,974524.5400625733,1212104.5600043095,503338,-237580.01994173625,0.05,0.0,-237580.01994173625
4,Bearish,LQD,,,etf,True,,425903.8552332624,442808.38003459136,237788,-16904.524801328953,0.05,0.0,-16904.524801328953
