rank,flow_type,ticker,market_cap,stock_price,category,is_etf,aum,bullish_flow,bearish_flow,total_volume,net_flow,volatility,relative_flow,flow_score
1,Bullish,STX,66235283136.54,304.01,large_cap,False,,631226174.2166723,191121354.39921498,103511,440104819.8174573,0.737588793688529,40671027.07181716,8861080.20642641
2,Bullish,QCOM,190402380000.0,177.78,large_cap,False,,22305296.792657565,7814325.332808199,65794,14490971.459849365,0.23933015374373723,1284697.9044291512,1284697.9044291512
3,Bullish,VZ,170596575284.94,40.46,large_cap,False,,19248048.77877442,9531619.813952383,290470,9716428.964822039,0.1497635641757263,865068.968129417,865068.968129417
4,Bullish,CAH,47782738896.62,201.11,large_cap,False,,83088623.09888166,48925078.643072255,37045,34163544.45580941,0.15419508216421998,3199052.100887662,760078.9182705922
5,Bullish,RCL,84950090778.0,311.5,large_cap,False,,71765267.37315404,42507528.94652174,20853,29257738.426632307,0.4145949226706036,2677033.562258845,730061.7789073568
6,Bullish,DE,131999008890.95999,488.08,large_cap,False,,51515959.89975502,25096666.80916248,18692,26419293.090592545,0.28686230884545055,2375713.7896767664,642500.9540360591
7,Bullish,BA,183653701904.21,234.53,large_cap,False,,12709572.085258858,4692488.622091108,102833,8017083.46316775,0.24291142678313904,711743.9351971657,557346.2179969711
8,Bullish,VLO,56512167385.92,185.28,large_cap,False,,26239315.312285822,8501523.792557461,18918,17737791.519728363,0.38343852631881703,1649698.4116513783,503173.75202681916
9,Bullish,WDC,68537129869.26,200.46,large_cap,False,,23111130.65202991,8415670.754566448,42781,14695459.897463461,0.8386176285836762,1356179.4363260884,463676.7741868749
10,Bullish,CRWD,118640046848.40001,470.61,large_cap,False,,39259170.26731831,19456522.68687923,32565,19802647.58043908,0.2925332733783812,1788173.5559764383,450795.7639109128
1,Bearish,MSTR,45522593155.18,157.33,large_cap,False,,332725842.69812256,767078158.0375783,582601,-434352315.3394558,0.5405928015883706,-40752773.94752779,-11791596.95136545
2,Bearish,NOW,149619275273.0,141.8,large_cap,False,,123624951.39873457,206970668.14579973,194761,-83345716.74706516,0.42285430202973207,-7458237.9978695735,-7458237.9978695735
3,Bearish,T,170075893385.05,23.99,large_cap,False,,28607724.247124575,44352306.090276025,524235,-15744581.84315145,0.13633161795368806,-1401930.608809747,-1401930.608809747
4,Bearish,NKE,97586873859.84,65.92,large_cap,False,,23003266.536360133,37628773.3206361,173459,-14625506.784275968,0.47221275309868843,-1330875.045227204,-1330875.045227204
5,Bearish,PDD,171138380994.1,120.55000000000001,large_cap,False,,12330131.394561112,25894543.339567933,57860,-13564411.945006821,0.2732892287571589,-1207512.9023320996,-1207512.9023320996
6,Bearish,ARM,118609030028.51001,111.79,large_cap,False,,13694880.917285308,26121259.621891256,68204,-12426378.704605948,0.34605999921690944,-1122110.0389483473,-1122110.0389483473
7,Bearish,MRNA,13402163714.8,34.3,large_cap,False,,13946236.655569803,36547210.38722587,95131,-22600973.731656063,0.6590854367155174,-2231715.5488001304,-872006.3309004103
8,Bearish,ADBE,139791470000.0,333.95,large_cap,False,,83684099.41744035,105293197.63765423,65954,-21609098.220213875,0.2807499994293638,-1938821.5597450193,-811590.7049092652
9,Bearish,LULU,23918693807.8,203.9,large_cap,False,,56003688.71171081,127243853.72535463,71731,-71240165.01364382,0.4117377337588853,-6864049.24424936,-805194.1743740138
10,Bearish,ZS,34562194909.84,216.73,large_cap,False,,17481265.67002832,54915995.00928309,35007,-37434729.33925477,0.26883241874173647,-3552153.4803557936,-566466.2065137426
