rank,flow_type,ticker,market_cap,stock_price,category,is_etf,aum,bullish_flow,bearish_flow,total_volume,net_flow,volatility,relative_flow,flow_score
1,Bullish,AVGO,1635597222441.03,344.97,mega_cap,False,,589719739.0981375,233920476.14052778,255347,355799262.9576097,0.4871293303726523,29131217.52559566,29131217.52559566
2,Bullish,TSLA,1480022787506.67,445.01,mega_cap,False,,228689143.15871778,91209951.71886973,1098961,137479191.43984807,0.39050291792763436,11296315.487622967,11296315.487622967
3,Bullish,AXP,258739569383.33002,375.61,mega_cap,False,,184830468.21816158,117047083.68979648,55376,67783384.5283651,0.21036885972504854,5939209.592997813,4091234.3456500005
4,Bullish,MU,388401990878.49,345.09,mega_cap,False,,62286996.11868516,24696369.76544646,227737,37590626.3532387,0.7251842290439571,3243568.337173496,3243568.337173496
5,Bullish,PM,253125026974.89,162.61,mega_cap,False,,52917386.54352698,16654740.187361578,38347,36262646.3561654,0.22338312111677636,3180003.5761479083,3180003.5761479083
6,Bullish,NVDA,4493022300000.0,184.86,mega_cap,False,,109291070.32724583,69343684.29241468,1162192,39947386.03483115,0.27629400482394545,3157262.536750456,3157262.536750456
7,Bullish,ORCL,570373767600.0,198.52,mega_cap,False,,83780293.52993694,50751891.255192034,254720,33028402.274744906,0.5345311404261702,2809455.090567274,2809455.090567274
8,Bullish,TSM,1678508582081.52,323.63,mega_cap,False,,44376303.701970205,15125511.02630893,119646,29250792.675661273,0.3156909001959244,2392717.837252348,2392717.837252348
9,Bullish,AMZN,2644545636801.18,247.38000000000002,mega_cap,False,,43889769.7563644,14483592.768809894,385374,29406176.987554505,0.2191972224493394,2367198.9972971724,2367198.9972971724
10,Bullish,INTC,217273500000.0,45.55,mega_cap,False,,38492355.65145871,13801018.515111865,915175,24691337.136346847,0.5717943891265126,2177941.46711671,2177941.46711671
1,Bearish,UNH,311590368507.60004,343.98,mega_cap,False,,98223207.16787201,166172621.986386,90552,-67949414.81851399,0.2583880602478962,-5911943.104228036,-5355266.383052439
2,Bearish,META,1646055752496.8198,653.06,mega_cap,False,,156919912.99923652,218187699.98660263,258438,-61267786.98736611,0.2069103603566845,-5015189.712732879,-5015189.712732879
3,Bearish,HD,372958422740.39996,374.64,mega_cap,False,,20167345.662724048,33926758.882236786,64833,-13759413.219512738,0.2361841326286017,-1189061.2687089634,-1183724.1493684442
4,Bearish,NFLX,379479446299.8,89.46,mega_cap,False,,65099645.11503397,77952824.32322104,745796,-12853179.208187073,0.25787185299525306,-1110024.2021761546,-1110024.2021761546
5,Bearish,PG,331512388596.63,141.87,mega_cap,False,,5967339.51322916,12450887.908751719,34750,-6483548.395522559,0.19921706181199586,-562783.6056704904,-562783.6056704904
6,Bearish,GS,281626873258.78,938.9800000000001,mega_cap,False,,55715068.90914302,77066946.9351365,30084,-21351878.025993474,0.25231122107418896,-1864845.9206498456,-559320.4602249324
7,Bearish,AMD,330769199681.8,203.17,mega_cap,False,,13332619.238027645,19708902.99289659,246769,-6376283.754868945,0.3671990338885691,-553519.6737971933,-553519.6737971933
8,Bearish,JPM,896141524891.05,329.19,mega_cap,False,,425974617.40106463,429676597.16462624,213917,-3701979.7635616064,0.2505162300739061,-309727.50331343093,-309727.50331343093
9,Bearish,NVO,261321020044.21002,58.81,mega_cap,False,,3372279.7133848825,6799732.538230077,197366,-3427452.824845195,0.38411530434074453,-300201.4965656137,-300201.4965656137
10,Bearish,IBM,284365144369.32,304.22,mega_cap,False,,16470305.802072026,18976328.344711967,23825,-2506022.542639941,0.17855503683030224,-218792.5260729003,-204513.07693001282
