rank,flow_type,ticker,market_cap,stock_price,category,is_etf,aum,bullish_flow,bearish_flow,total_volume,net_flow,volatility,relative_flow,flow_score
1,Bullish,AMC,841227440.04,1.64,small_cap,False,,425277.097019215,168909.37409516197,154756,256367.72292405303,0.5867328511683129,28724.953459761546,14734.279917209358
2,Bullish,CRML,1765619947.3999999,14.975,small_cap,False,,1276119.7891054654,713406.1839835743,53322,562713.6051218911,1.5258688696058762,60854.31592092676,7174.997934916174
3,Bullish,UWMC,1438706972.8000002,5.36,small_cap,False,,277336.9524095393,132816.81289739645,41370,144520.13951214286,0.5508010676367152,15780.801034696256,4235.811284512492
4,Bullish,RDW,1813355597.3400002,10.98,small_cap,False,,496019.77844398905,301414.3840426841,28416,194605.39440130495,1.1673111917893206,21019.144808146488,3471.3282230557775
5,Bullish,TE,1473818756.1000001,6.94,small_cap,False,,344350.0513831337,210018.4217441573,23052,134331.6296389764,1.2324620123576975,14651.518674215886,3111.4817042375757
6,Bullish,JBLU,1887658636.8000002,5.19,small_cap,False,,150452.3193346199,75290.22038610562,28649,75162.09894851429,0.3973276028647758,8102.923582420603,2947.1201702671765
7,Bullish,ASPI,939577016.22,7.51,small_cap,False,,378940.41792660253,290201.64998419315,36960,88738.76794240938,1.003296524753819,9889.606222238204,1237.289840996181
8,Bullish,LDI,650154650.22,2.91,small_cap,False,,153525.273648124,106022.38711460034,26653,47502.88653352368,0.8446027046413054,5390.082453615551,1204.2567602362121
9,Bullish,TIGR,1728840811.3200002,9.72,small_cap,False,,190988.60262716765,135634.77796894836,10992,55353.824658219295,0.5156193536373752,5992.129540358933,1065.7858123548021
10,Bullish,ABR,1579384824.45,8.07,small_cap,False,,106634.94179643402,59839.4007956258,29999,46795.541000808225,0.3125540336847092,5087.3079576103155,995.640270824468
1,Bearish,IOVA,972571526.5000001,2.45,small_cap,False,,179531.75327289803,535706.3377132678,8571,-356174.58444036974,0.761237623555547,-39628.13676416684,-15731.101006153682
2,Bearish,ASST,845796511.3554,0.9458,small_cap,False,,96702.22414134117,168857.3500297165,115488,-72155.12588837533,1.1911993955248394,-8082.555933878018,-7227.952645071806
3,Bearish,BYND,442276283.4931,0.9751,small_cap,False,,158916.12347420136,244486.2101378557,86935,-85570.08666365434,0.8483856705234472,-9897.422938273687,-4489.175913546348
4,Bearish,PCT,1807389350.1999998,10.03,small_cap,False,,271018.67202749994,498222.74947738065,38668,-227204.07744988071,0.9384055710108477,-24543.89198077651,-4422.768592075239
5,Bearish,LAC,1635801872.32,5.39,small_cap,False,,284092.18470419414,408388.81659173593,18162,-124296.6318875418,0.6189831910283211,-13490.369528036279,-4094.169152551098
6,Bearish,TLRY,1069533488.88,9.18,small_cap,False,,249653.76159328886,472148.93470375665,50994,-222495.1731104678,1.8065848627612864,-24641.75247083788,-2870.934585212701
7,Bearish,BITF,1674185760.8,2.8,small_cap,False,,94294.33425550009,130260.21363698256,35620,-35965.879381482475,0.8191243270642805,-3899.245991146895,-2331.4507557980764
8,Bearish,SEDG,1966823677.39,32.89,small_cap,False,,660578.8724856074,1004860.7952437209,11709,-344281.9227581135,0.6295106892165478,-37044.39556072838,-2215.256743795731
9,Bearish,CGC,432578239.98,1.23,small_cap,False,,48395.98930952376,95504.3333727898,20959,-47108.34406326604,1.9344544111100552,-5454.839196692005,-1918.410356974752
10,Bearish,NNE,1615682150.9399998,32.01,small_cap,False,,580589.3366921862,892401.8185160109,20826,-311812.4818238247,1.01906407042637,-33861.90589171425,-1709.1557933787171
