rank,flow_type,ticker,market_cap,stock_price,category,is_etf,aum,bullish_flow,bearish_flow,total_volume,net_flow,volatility,relative_flow,flow_score
1,Bullish,AVGO,1635597222441.03,344.97,mega_cap,False,,589719739.0981375,233920476.14052778,255347,355799262.9576097,0.4871293303726523,29131217.52559566,29131217.52559566
2,Bullish,TSLA,1480022787506.67,445.01,mega_cap,False,,228689143.15871778,91209951.71886973,1098961,137479191.43984807,0.39050291792763436,11296315.487622967,11296315.487622967
3,Bullish,STX,66235283136.54,304.01,large_cap,False,,631226174.2166723,191121354.39921498,103511,440104819.8174573,0.737588793688529,40671027.07181716,8861080.20642641
4,Bullish,AXP,258739569383.33002,375.61,mega_cap,False,,184830468.21816158,117047083.68979648,55376,67783384.5283651,0.21036885972504854,5939209.592997813,4091234.3456500005
5,Bullish,MU,388401990878.49,345.09,mega_cap,False,,62286996.11868516,24696369.76544646,227737,37590626.3532387,0.7251842290439571,3243568.337173496,3243568.337173496
6,Bullish,PM,253125026974.89,162.61,mega_cap,False,,52917386.54352698,16654740.187361578,38347,36262646.3561654,0.22338312111677636,3180003.5761479083,3180003.5761479083
7,Bullish,NVDA,4493022300000.0,184.86,mega_cap,False,,109291070.32724583,69343684.29241468,1162192,39947386.03483115,0.27629400482394545,3157262.536750456,3157262.536750456
8,Bullish,ORCL,570373767600.0,198.52,mega_cap,False,,83780293.52993694,50751891.255192034,254720,33028402.274744906,0.5345311404261702,2809455.090567274,2809455.090567274
9,Bullish,TSM,1678508582081.52,323.63,mega_cap,False,,44376303.701970205,15125511.02630893,119646,29250792.675661273,0.3156909001959244,2392717.837252348,2392717.837252348
10,Bullish,AMZN,2644545636801.18,247.38000000000002,mega_cap,False,,43889769.7563644,14483592.768809894,385374,29406176.987554505,0.2191972224493394,2367198.9972971724,2367198.9972971724
11,Bullish,INTC,217273500000.0,45.55,mega_cap,False,,38492355.65145871,13801018.515111865,915175,24691337.136346847,0.5717943891265126,2177941.46711671,2177941.46711671
12,Bullish,MSFT,3562189962488.4,479.28,mega_cap,False,,84176617.14642031,67850746.8640096,233738,16325870.282410711,0.17671142004418108,1300688.1994018047,1300688.1994018047
13,Bullish,QCOM,190402380000.0,177.78,large_cap,False,,22305296.792657565,7814325.332808199,65794,14490971.459849365,0.23933015374373723,1284697.9044291512,1284697.9044291512
14,Bullish,CSCO,291906866314.44,73.88,mega_cap,False,,19721272.939158008,6287891.742153587,65444,13433381.19700442,0.1511714484872972,1171661.138041633,1171661.138041633
15,Bullish,GOOGL,3964854190000.0,328.57,mega_cap,False,,29262857.383539215,15896970.90473649,286601,13365886.478802724,0.21140167452132974,1060933.9111663725,1060933.9111663725
